feature,importance_mean,importance_std
platelet_count,0.18891981486576526,0.017105651313815137
rdw_cv_pct,0.041810483310655414,0.010449197493577889
neutrophils,0.01854760490465092,0.006131200602277461
total_cir_eosinophils,0.018058823488666415,0.008617685111691847
htc_pcv_pct,0.008989798875812333,0.004889980875643614
age,0.007207576923911524,0.006095018983249842
mchc_g_dl,0.00582056419486407,0.006873261770181051
sex,0.005707331048022013,0.0033536150622418413
hemoglobin_hb_pct,0.0038913795004188456,0.005727004207441984
total_wbc_count_cumm,0.003038601320622364,0.004231231089728978
lymphocytes,0.0009492656563426932,0.008149802955687988
mch_pg,-0.002271464976646556,0.0021671343404647257
